movie_name,director,year,jump_count,is_netflix,imdb_rating
The Innkeepers,Ti West,2011,9,No,5.5
The Innocents,Jack Clayton,1961,4,No,7.9
The Invisible Man,Leigh Whannell,2020,6,No,7.2
The Invitation,Karyn Kusama,2015,5,Yes,6.6
The Jacket,John Maybury,2005,6,No,7.1
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,No,7
The Last Exorcism,Daniel Stamm,2010,7,No,5.6
The Last House on the Left,Dennis Iliadis,2009,4,No,6.6
The Lazarus Effect,David Gelb,2015,18,No,5.2
The Lighthouse,Robert Eggers,2019,4,No,7.7
The Limehouse Golem,Juan Carlos Medina,2016,0,No,6.4
The Little Stranger,Lenny Abrahamson,2018,0,No,5.6
The Lodge,Severin Fiala & Veronika Franz,2020,4,No,6.2
The Love Witch,Anna Biller,2016,0,No,6.2
The Lovebirds,Michael Showalter,2020,2,Yes,6
The Meg,Jon Turteltaub,2018,18,No,5.7
The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,No,5.4
The Midnight Meat Train,Ryûhei Kitamura,2008,1,No,6.2
The Mist,Frank Darabont,2007,5,No,7.2
The Monster,Bryan Bertino,2016,11,Yes,5.4
The Mothman Prophecies,Mark Pellington,2002,4,No,6.5
The Mummy,Alex Kurtzman,2017,16,No,5.5
The Neighbor,Marcus Dunstan,2016,3,No,5.3
The Neon Demon,Nicolas Winding Refn,2016,2,No,6.2
The New Daughter,Luiso Berdejo,2009,11,No,5.3
The Nightmare Gallery,Gene Blalock,2019,2,No,3.7
The Ninth Gate,Roman Polanski,1999,0,No,6.7
The Number 23,Joel Schumacher,2007,3,No,6.4
The Nun,Corin Hardy,2018,21,No,5.3
The Omen,Richard Donner,1976,1,No,7.6
The Ones Below,David Farr,2015,0,Yes,6.1
The Open House,"Matt Angel, Suzanne Coote",2018,14,Yes,3.3
The Orphanage,J.A. Bayona,2007,6,No,7.5
The Other Side of the Door,Johannes Roberts,2016,16,No,5.3
The Others,Alejandro Amenábar,2001,4,No,7.6
The Pact,Nicholas McCarthy,2012,12,No,5.8
The People Under the Stairs,Wes Craven,1991,13,No,6.3
The Perfection,Richard Shepard,2019,1,Yes,6.1
The Possession,Ole Bornedal,2012,10,No,5.9
The Possession of Michael King,David Jung,2014,20,No,5.7
The Poughkeepsie Tapes,John Erick Dowdle,2007,4,No,6.1
The Predator,Shane Black,2018,6,No,5.6
The Purge,James DeMonaco,2013,12,No,5.6
The Purge: Anarchy,James DeMonaco,2014,13,No,6.5
The Purge: Election Year,James DeMonaco,2016,9,No,6
The Pyramid,Grégory Levasseur,2014,14,Yes,4.6
The Quiet Ones,John Pogue,2014,23,No,5.1
The Return of the Living Dead,Dan O’Bannon,1985,1,No,7.3
The Ring,Gore Verbinski,2002,9,No,7.1
The Ring Two,Hideo Nakata,2005,11,No,5.4
The Ring Virus,Kim Dong-bin,1999,3,No,6.1
The Rite,Mikael Håfström,2011,7,Yes,6
The Ritual,David Bruckner,2017,15,Yes,6.3
The Sacrament,Ti West,2013,2,No,6.1
The Sand,Isaac Gabaeff,2015,0,No,3.8
The Shallows,Jaume Collet-Serra,2016,9,No,6.3
The Shape of Water,Guillermo del Toro,2017,2,No,7.3
The Shining,Stanley Kubrick,1980,3,Yes,8.5
The Silence of the Lambs,Jonathan Demme,1991,0,No,8.6
The Sixth Sense,M. Night Shyamalan,1999,8,Yes,8.2
The Skeleton Key,Iain Softley,2005,11,No,6.5
The Snowman,Tomas Alfredson,2017,9,No,5.1
The Strangers,Bryan Bertino,2008,16,No,6.2
The Strangers: Prey at Night,Johannes Roberts,2018,14,No,5.5
The Taking of Deborah Logan,Adam Robitel,2014,19,No,6
The Texas Chain Saw Massacre,Tobe Hooper,1974,2,No,7.5
The Texas Chainsaw Massacre,Marcus Nispel,2003,16,No,6.2
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,Yes,5.9
The Thing,Matthijs van Heijningen Jr.,2011,7,No,6.2
The Thing,John Carpenter,1982,7,No,8.2
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,No,5.6
The Transfiguration,Michael O’Shea,2016,2,No,5.9
The Tunnel,Carlo Ledesma,2011,6,No,5.9
The Turning,Floria Sigismondi,2020,13,No,3.8
The Unborn,David S. Goyer,2009,14,Yes,4.8
The Uninvited,Charles & Thomas Guard,2009,11,Yes,6.4
The Veil,Phil Joanou,2016,12,Yes,4.7
The Village,M. Night Shyamalan,2004,4,No,6.5
The Visit,M. Night Shyamalan,2015,8,No,6.2
The Voices,Marjane Satrapi,2014,3,No,6.3
The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,Yes,5.8
The Wailing,Na Hong-jin,2016,4,Yes,7.5
The Ward,John Carpenter,2010,15,No,5.6
The Wicker Man,Robin Hardy,1973,4,No,7.6
The Witch,Robert Eggers,2015,4,Yes,6.8
The Wolfman,Joe Johnston,2010,18,No,5.8
The Woman in Black,James Watkins,2012,16,No,6.5
The Woman in Black 2: Angel of Death,Tom Harper,2014,14,No,4.9
Them,"David Moreau, Xavier Palud",2006,16,No,6.5
Thesis,Alejandro Amenábar,1996,3,No,7.5
They Look Like People,Perry Blackshear,2015,2,No,6.1
Thirteen Ghosts,Steve Beck,2001,17,No,5.5
Timecrimes,Nacho Vigalondo,2007,3,No,7.2
Tragedy Girls,Tyler Macintyre,2017,8,No,6.1
Train to Busan,Sang-ho Yeon,2016,4,Yes,7.5
Trash Fire,Richard Bates Jr.,2016,0,Yes,5.8
Tremors,Ron Underwood,1990,16,No,7.1
Triangle,Christopher Smith,2009,5,No,6.9
Trick ‘r Treat,Michael Dougherty,2007,6,No,6.8
Truth or Dare,Jeff Wadlow,2018,7,No,4.8
Tucker and Dale vs. Evil,Eli Craig,2010,9,No,7.6
Tusk,Kevin Smith,2014,0,Yes,5.4
Under the Shadow,Babak Anvari,2016,9,Yes,7
Unfriended,Leo Gabriadze,2014,5,No,5.8
Unfriended: Dark Web,Stephen Susco,2018,6,No,5.9
Unsane,Steven Soderbergh,2018,2,No,6.7
Urban Legend,Jamie Blanks,1998,17,No,5.5
Us,Jordan Peele,2019,11,No,6.9
Uzumaki,Higuchinsky,2000,15,No,6.2
V/H/S,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard",2012,7,No,5.8
V/H/S/2,"Simon Barrett, Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Timo Tjahjanto, Adam Wingard",2013,14,No,6.1
Vacancy,Nimród Antal,2007,12,No,6.2
Van Helsing,Stephen Sommers,2004,3,No,6.1
Velvet Buzzsaw,Dan Gilroy,2019,10,Yes,5.7
Venom,Ruben Fleischer,2018,10,Yes,6.7
Veronica,Paco Plaza,2017,10,Yes,6.5
Victor Frankenstein,Paul McGuigan,2015,6,No,6
Viral,"Henry Joost, Ariel Schulman",2016,20,No,5.5
Visions,Kevin Greutert,2015,10,No,5.3
Wait Until Dark,Terence Young,1967,1,No,7.9
We Are Still Here,Ted Geoghegan,2015,12,No,5.7
Wes Craven’s New Nightmare,Wes Craven,1994,11,No,6.4
What Lies Beneath,Robert Zemeckis,2000,16,No,6.6
What the Waters Left Behind,"Luciano Onetti, Nicolás Onetti",2017,5,No,4.9
When a Stranger Calls,Fred Walton,1979,5,No,6.6
Wildling,Fritz Böhm,2018,4,No,5.5
Winchester,"Michael Spierig, Peter Spierig",2018,17,No,5.4
Wind Chill,Gregory Jacobs,2007,13,No,5.9
Wish Upon,John R. Leonetti,2017,11,No,4.8
Wolf Creek,Greg McLean,2005,0,No,6.3
World War Z,Marc Forster,2013,7,No,7
Would You Rather,David Guy Levy,2012,3,Yes,5.8
Wounds,Babak Anvari,2019,6,Yes,4
Wrong Turn,Rob Schmidt,2003,13,No,6.1
You Might Be the Killer,Brett Simmons,2018,6,No,5.9
You’re Next,Adam Wingard,2011,11,No,6.5
Zodiac,David Fincher,2007,3,No,7.7
Zombieland,Ruben Fleischer,2009,9,No,7.7
Zombieland: Double Tap,Ruben Fleischer,2019,2,No,6.7
